season,posteam,drives,td_drives,scoring_rate,avg_drive_epa
2021,LAC,177,57,0.3220338983050847,0.34489400205591725
2021,TB,195,61,0.3128205128205128,0.5643396781365817
2021,KC,170,53,0.31176470588235294,0.9638812025976183
2021,BUF,189,58,0.30687830687830686,0.4012135833546067
2021,GB,175,52,0.29714285714285715,0.7033496693776686
2021,DAL,193,56,0.29015544041450775,0.38846893915978736
2021,LA,184,52,0.2826086956521739,0.3764694379361369
2021,ARI,180,50,0.2777777777777778,0.2291341060351137
2021,NE,175,48,0.2742857142857143,0.34115296919179056
2021,CIN,190,52,0.2736842105263158,0.22577595211704096
2021,IND,180,49,0.2722222222222222,0.3011631692470514
2021,SEA,190,51,0.26842105263157895,0.11047624361669557
2021,SF,187,50,0.26737967914438504,0.3373823562363018
2021,PHI,175,45,0.2571428571428571,0.3111613669172856
2021,TEN,185,46,0.24864864864864866,0.01209118590518856
2021,MIN,198,46,0.23232323232323232,-0.037560483548816914
2021,CLE,180,41,0.22777777777777777,-0.1821134167025852
2021,DEN,168,36,0.21428571428571427,0.0831627826425873
2021,NO,198,42,0.21212121212121213,-0.6112522793689519
2021,NA,1396,292,0.20916905444126074,0
2021,BAL,196,40,0.20408163265306123,0.040080523660108634
2021,DET,179,35,0.19553072625698323,-0.4761977090668578
2021,LV,190,37,0.19473684210526315,-0.09114617753511685
2021,WAS,181,35,0.19337016574585636,-0.29607093973057574
2021,NYJ,188,35,0.18617021276595744,-0.5315401893585615
2021,MIA,188,33,0.17553191489361702,-0.44933336930347617
2021,ATL,179,31,0.17318435754189945,-0.5871052538640407
2021,CHI,179,31,0.17318435754189945,-0.6662627828676005
2021,PIT,202,33,0.16336633663366337,-0.42753499479052504
2021,CAR,195,31,0.15897435897435896,-0.9392085554372924
2021,HOU,191,30,0.15706806282722513,-0.8078428175552583
2021,JAX,180,27,0.15,-0.6942557868797985
2021,NYG,190,23,0.12105263157894737,-0.9024244332711656
2022,KC,181,59,0.3259668508287293,0.9445602747607631
2022,PHI,186,57,0.3064516129032258,0.43694370356789075
2022,BUF,173,52,0.30057803468208094,0.6842958850742795
2022,DET,177,52,0.2937853107344633,0.37946463199442804
2022,CIN,177,49,0.2768361581920904,0.31219032433285826
2022,SF,186,50,0.26881720430107525,0.2856866298759209
2022,DAL,195,52,0.26666666666666666,0.13245236444907388
2022,MIN,202,49,0.24257425742574257,-0.1137757629014004
2022,MIA,180,43,0.2388888888888889,0.14068076207744837
2022,LV,173,40,0.23121387283236994,-0.003731402838967216
2022,JAX,181,41,0.2265193370165746,0.22137299544511638
2022,SEA,187,42,0.22459893048128343,0.1158871133468988
2022,GB,179,40,0.22346368715083798,-0.04113810082767523
2022,LAC,190,41,0.21578947368421053,-0.14320930393506837
2022,CLE,181,39,0.2154696132596685,-0.041613410375234375
2022,NYG,179,38,0.2122905027932961,0.18825809769006305
2022,ATL,170,35,0.20588235294117646,-0.024477387132235434
2022,CHI,181,37,0.20441988950276244,-0.31545152338223864
2022,NA,1342,266,0.19821162444113263,0
2022,NO,186,36,0.1935483870967742,-0.39851112304279784
2022,BAL,181,34,0.1878453038674033,0.08389522808750043
2022,LA,177,31,0.1751412429378531,-0.5617021630476051
2022,TEN,191,33,0.17277486910994763,-0.45584388835746803
2022,CAR,192,33,0.171875,-0.23921596769612155
2022,ARI,187,32,0.1711229946524064,-0.7086480769361954
2022,WAS,197,33,0.16751269035532995,-0.4000677631779357
2022,TB,195,32,0.1641025641025641,-0.4265280764042089
2022,NE,192,31,0.16145833333333334,-0.49133129832027167
2022,PIT,181,28,0.15469613259668508,-0.13555642787798855
2022,DEN,201,29,0.14427860696517414,-0.5761451587377201
2022,NYJ,195,28,0.14358974358974358,-0.634446021481647
2022,HOU,198,28,0.1414141414141414,-0.8793326830045144
2022,IND,196,25,0.12755102040816327,-1.0160497733827092
2023,SF,179,60,0.33519553072625696,0.9053414127618108
2023,DET,188,58,0.30851063829787234,0.1404834223890946
2023,MIA,186,57,0.3064516129032258,0.5205293658570186
2023,DAL,172,50,0.29069767441860467,0.7900991379034042
2023,BUF,181,51,0.281767955801105,0.4816957288096925
2023,BAL,198,53,0.2676767676767677,0.35053532360940876
2023,PHI,179,47,0.26256983240223464,0.4084297491209787
2023,GB,174,42,0.2413793103448276,0.23533013404789488
2023,LA,185,44,0.23783783783783785,-0.01223030813204192
2023,NO,196,41,0.20918367346938777,-0.33127777270212044
2023,CIN,188,39,0.2074468085106383,-0.014866585301705995
2023,KC,179,37,0.20670391061452514,-0.023850930934222126
2023,MIN,179,37,0.20670391061452514,-0.3717731730568604
2023,HOU,193,39,0.20207253886010362,-0.14202301389212293
2023,DEN,190,38,0.2,-0.3219894885088106
2023,JAX,195,39,0.2,-0.21815406781836266
2023,ARI,181,36,0.19889502762430938,-0.33374236957559983
2023,TB,183,36,0.19672131147540983,-0.14444703745984103
2023,WAS,199,39,0.19597989949748743,-0.5917432029263019
2023,SEA,179,34,0.18994413407821228,0.11720706149779894
2023,CHI,185,35,0.1891891891891892,-0.4544378049956659
2023,IND,197,37,0.18781725888324874,-0.2636047220844895
2023,NA,1317,243,0.1845102505694761,0
2023,LAC,191,35,0.18324607329842932,-0.4196432132559824
2023,CLE,224,40,0.17857142857142858,-0.6646740093742076
2023,LV,179,31,0.17318435754189945,-0.5634661914856072
2023,TEN,181,30,0.16574585635359115,-0.2321521260090918
2023,ATL,197,31,0.15736040609137056,-0.6248371903078755
2023,PIT,194,29,0.14948453608247422,-0.5121138594039594
2023,NE,204,26,0.12745098039215685,-1.2291849053893626
2023,NYG,200,25,0.125,-1.0449896293882508
2023,CAR,180,20,0.1111111111111111,-1.0375198519604987
2023,NYJ,210,18,0.08571428571428572,-1.2285951430112825
