season,posteam,plays,total_epa,epa_per_play
2021,KC,1116,160.90513703320005,0.14418023031648797
2021,TB,1121,153.22968567020666,0.13669017454969354
2021,GB,1052,140.42555150530248,0.13348436454876653
2021,BUF,1125,113.56220959548166,0.100944186307095
2021,DAL,1143,109.28425073850217,0.09561176792519872
2021,LAC,1123,106.10935507322297,0.0944874043394684
2021,SF,1032,89.66639666204496,0.08688604327717528
2021,LA,1044,80.06547918296329,0.07669107201433184
2021,ARI,1112,81.286604599532,0.07309946456792439
2021,PHI,1067,74.20899143893999,0.0695491953504592
2021,NE,1037,71.09570935944265,0.06855902541894154
2021,CIN,1037,58.95263722765953,0.056849216227251295
2021,IND,1044,53.74695083210898,0.05148175367060203
2021,SEA,947,29.54210744900381,0.031195467211196745
2021,TEN,1119,24.12470349687569,0.021559163089254665
2021,MIN,1076,18.408630142197833,0.017108392325463035
2021,DEN,1032,15.262792333517085,0.014789527454958493
2021,CLE,1043,13.607566340722542,0.013046564085064065
2021,BAL,1177,5.909242135424524,0.00502059654666509
2021,LV,1072,-20.4551152087383,-0.019081264187255583
2021,WAS,1066,-60.77722849634923,-0.05701428564385499
2021,MIA,1085,-63.81502141003041,-0.058815687935512145
2021,DET,1056,-66.85004389893255,-0.06330496581338321
2021,NO,1040,-76.92799731322846,-0.07396922818579717
2021,PIT,1101,-81.93481480956555,-0.07441854206136767
2021,JAX,1024,-90.58328036162729,-0.0884602347281517
2021,NYJ,1036,-95.51333049433006,-0.09219433445398686
2021,ATL,998,-97.47871893963756,-0.0976740670737852
2021,CHI,1067,-106.91733225606973,-0.10020368533839752
2021,CAR,1099,-151.43588348901804,-0.1377942524922816
2021,HOU,1006,-139.0563934032953,-0.13822703121599939
2021,NYG,1042,-168.11565175903036,-0.16133939708160164
2022,KC,1085,201.3454137816601,0.18557180993701408
2022,BUF,1018,117.90168477671908,0.1158169791519835
2022,PHI,1105,118.63280363252473,0.10736000328735207
2022,SF,1030,87.52891216387698,0.084979526372696
2022,CIN,1034,79.50821239009645,0.07689382242755909
2022,DET,1081,77.46674368406254,0.07166211256619984
2022,MIA,995,46.84051956989742,0.04707589906522395
2022,JAX,1066,49.28517668125262,0.04623374923194421
2022,NYG,1077,32.7030995298463,0.030364994920934616
2022,CLE,1099,13.681686578068614,0.012449214356750888
2022,DAL,1101,13.202840080379794,0.011991680363651627
2022,PIT,1101,12.954025217065954,0.01176569047871504
2022,LAC,1137,8.024178368601977,0.007057324862446607
2022,ATL,1000,4.899626210448984,0.0048996262104491215
2022,BAL,1030,4.552246393389801,0.004419656692611135
2022,GB,1036,3.2119987264883427,0.0031003848711274517
2022,LV,1048,0.4241687944013002,4.0474121603188256e-4
2022,SEA,1033,-2.994912135709476,-0.0028992373046560138
2022,MIN,1114,-11.854009750103447,-0.01064094232504793
2022,CAR,971,-33.509274506620606,-0.034510066433182496
2022,NO,1005,-38.16725318768844,-0.037977366355908225
2022,TB,1146,-43.55297904709814,-0.038004344718235876
2022,CHI,985,-45.21475511146357,-0.04590330468168936
2022,NE,986,-53.23007954216346,-0.05398588188860393
2022,TEN,979,-58.28692854820261,-0.05953720995730634
2022,WAS,1135,-88.18343238076466,-0.07769465407996894
2022,NYJ,1063,-93.0076343174402,-0.08749542268809064
2022,ARI,1142,-100.61579426624674,-0.08810489865695897
2022,LA,987,-87.21965629811866,-0.08836844609738505
2022,DEN,1070,-116.36653759093798,-0.10875377344947458
2022,IND,1100,-184.86727437640656,-0.16806115852400644
2022,HOU,1011,-190.98800862910429,-0.18890999864401967
2023,SF,996,173.10301406660145,0.17379820689417808
2023,BUF,1094,118.47966679043107,0.10829951260551322
2023,DAL,1104,117.40059182349621,0.1063411157821527
2023,MIA,1036,100.89101905537929,0.0973851535283591
2023,BAL,1064,69.74420290395935,0.06554906287966082
2023,GB,1041,66.49377502825061,0.06387490396565743
2023,DET,1117,71.21690246673961,0.06375729853781499
2023,PHI,1104,59.70082100092159,0.0540768306167769
2023,LA,1091,42.38444709706167,0.03884917240793927
2023,KC,1055,22.12156605542634,0.02096830905727623
2023,SEA,984,16.14439829255085,0.016406908833892963
2023,CIN,1032,-10.481323956487074,-0.010156321663262585
2023,NO,1102,-15.024003143121043,-0.01363339668159786
2023,TB,1028,-16.994357047538692,-0.01653147572717799
2023,HOU,1078,-30.564099712613334,-0.028352597136004538
2023,IND,1087,-38.58728060768376,-0.03549887820394095
2023,MIN,1063,-43.1753240720807,-0.040616485486435164
2023,TEN,984,-46.442820839130874,-0.047197988657653116
2023,CHI,1089,-53.13200979134608,-0.04878972432630497
2023,DEN,1002,-58.21546074043266,-0.05809926221600084
2023,JAX,1102,-77.5048542853139,-0.07033108374347892
2023,ARI,1071,-76.35759514485592,-0.07129560704468402
2023,PIT,1008,-74.1325722045835,-0.07354421845692775
2023,LAC,1096,-83.23023218633487,-0.07593999287074323
2023,LV,997,-96.76510185877146,-0.09705627067078378
2023,ATL,1083,-107.10414187973394,-0.0988957912093571
2023,WAS,1060,-111.99600040820843,-0.1056566041586872
2023,CLE,1181,-166.48791731624664,-0.14097198756667767
2023,NYG,1049,-182.21780447026276,-0.17370620063895434
2023,CAR,1094,-193.27598094687244,-0.1766690867887319
2023,NE,1016,-193.74252913633927,-0.19069146568537362
2023,NYJ,1049,-263.8917309265159,-0.25156504378123534
