season,posteam,rz_plays,rz_tds,rz_td_rate
2021,SF,132,37,0.2803030303030303
2021,SEA,125,31,0.248
2021,CIN,134,33,0.2462686567164179
2021,NE,180,41,0.22777777777777777
2021,TB,206,46,0.22330097087378642
2021,TEN,178,39,0.21910112359550563
2021,NO,156,33,0.21153846153846154
2021,LAC,226,47,0.2079646017699115
2021,ARI,193,40,0.20725388601036268
2021,PHI,185,38,0.20540540540540542
2021,DAL,201,41,0.20398009950248755
2021,KC,201,41,0.20398009950248755
2021,LA,207,42,0.2028985507246377
2021,GB,220,44,0.2
2021,BAL,173,34,0.19653179190751446
2021,CLE,164,32,0.1951219512195122
2021,MIA,154,30,0.19480519480519481
2021,BUF,248,48,0.1935483870967742
2021,MIN,176,34,0.19318181818181818
2021,CAR,142,27,0.19014084507042253
2021,IND,195,36,0.18461538461538463
2021,WAS,152,28,0.18421052631578946
2021,PIT,148,27,0.18243243243243243
2021,ATL,160,29,0.18125
2021,DEN,167,30,0.17964071856287425
2021,LV,174,31,0.1781609195402299
2021,NYJ,162,28,0.1728395061728395
2021,DET,134,22,0.16417910447761194
2021,HOU,111,18,0.16216216216216217
2021,JAX,125,20,0.16
2021,CHI,163,24,0.147239263803681
2021,NYG,116,17,0.14655172413793102
2022,DAL,157,42,0.267515923566879
2022,MIA,125,32,0.256
2022,NYG,132,31,0.23484848484848486
2022,KC,220,51,0.2318181818181818
2022,DEN,98,22,0.22448979591836735
2022,DET,196,44,0.22448979591836735
2022,TEN,116,26,0.22413793103448276
2022,PHI,191,40,0.2094240837696335
2022,MIN,193,40,0.20725388601036268
2022,CIN,180,37,0.20555555555555555
2022,CHI,137,28,0.20437956204379562
2022,LA,131,26,0.1984732824427481
2022,BUF,177,35,0.1977401129943503
2022,CAR,132,26,0.19696969696969696
2022,SF,174,34,0.19540229885057472
2022,GB,156,29,0.1858974358974359
2022,NO,135,25,0.18518518518518517
2022,CLE,164,30,0.18292682926829268
2022,LAC,195,35,0.1794871794871795
2022,ATL,170,30,0.17647058823529413
2022,JAX,182,32,0.17582417582417584
2022,LV,136,23,0.16911764705882354
2022,PIT,155,26,0.16774193548387098
2022,SEA,155,26,0.16774193548387098
2022,ARI,151,25,0.16556291390728478
2022,TB,163,26,0.15950920245398773
2022,WAS,166,26,0.1566265060240964
2022,HOU,142,22,0.15492957746478872
2022,BAL,175,27,0.15428571428571428
2022,NYJ,138,21,0.15217391304347827
2022,NE,125,19,0.152
2022,IND,156,22,0.14102564102564102
2023,SF,191,45,0.2356020942408377
2023,NE,90,21,0.23333333333333334
2023,MIA,178,40,0.2247191011235955
2023,BAL,189,42,0.2222222222222222
2023,WAS,137,30,0.21897810218978103
2023,BUF,189,41,0.21693121693121692
2023,DET,197,42,0.2131979695431472
2023,PHI,171,36,0.21052631578947367
2023,LA,181,36,0.19889502762430938
2023,CHI,152,30,0.19736842105263158
2023,TEN,117,23,0.19658119658119658
2023,ARI,138,27,0.1956521739130435
2023,KC,170,33,0.19411764705882353
2023,NO,176,34,0.19318181818181818
2023,CIN,168,31,0.18452380952380953
2023,HOU,163,30,0.18404907975460122
2023,MIN,148,27,0.18243243243243243
2023,DAL,230,41,0.1782608695652174
2023,JAX,153,27,0.17647058823529413
2023,CLE,154,27,0.17532467532467533
2023,LAC,160,28,0.175
2023,SEA,151,26,0.17218543046357615
2023,TB,131,22,0.16793893129770993
2023,GB,203,34,0.16748768472906403
2023,NYG,120,20,0.16666666666666666
2023,PIT,123,20,0.16260162601626016
2023,CAR,118,19,0.16101694915254236
2023,DEN,174,28,0.16091954022988506
2023,LV,153,24,0.1568627450980392
2023,IND,179,28,0.1564245810055866
2023,ATL,148,23,0.1554054054054054
2023,NYJ,112,12,0.10714285714285714
