season,posteam,total_wpa,avg_wpa
2021,GB,5.3362193373766384,0.003941077797176257
2021,LV,5.08866882153352,0.0035835695926292265
2021,TB,4.7662614669556564,0.003312203938120668
2021,KC,4.492277444196249,0.0031436511156027096
2021,LAC,4.196552720048681,0.002908213943207666
2021,CIN,3.9931275721469834,0.002933965886955899
2021,DAL,3.8545592718015174,0.0025852174861177107
2021,MIN,3.592571245247225,0.0025211026282436605
2021,SF,3.4321920995746824,0.0025728576458580723
2021,LA,3.170185821050617,0.0023728935786307107
2021,BAL,2.648309270019385,0.0017585054913807129
2021,TEN,2.22564290551807,0.0015391721338299225
2021,ARI,2.013832562216866,0.0014102468923087278
2021,IND,1.7430335717380299,0.0012750794233635997
2021,PHI,1.6944272077353708,0.0012359060596173442
2021,SEA,1.3745509401357072,0.0010917799365653049
2021,NE,1.3033669781170065,9.66889449641695e-4
2021,PIT,1.3032956188406457,9.031847670413456e-4
2021,MIA,1.135039322535724,7.998867671146788e-4
2021,ATL,1.1093201452111376,8.397578691984428e-4
2021,WAS,0.7338359394198387,5.302282799276339e-4
2021,BUF,0.3250054375194553,2.2887706867566669e-4
2021,DET,0.29277097140878605,2.107782371553582e-4
2021,NA,0,0
2021,CLE,-0.008714044387803432,-6.450069865165244e-6
2021,DEN,-0.07022730866554339,-5.2842218709977266e-5
2021,CHI,-0.21247785677508535,-1.5475444776044374e-4
2021,NO,-0.6183982267856654,-4.5337113400707935e-4
2021,NYJ,-0.9061157217543618,-6.721926719245933e-4
2021,HOU,-1.865218746390827,-0.0013785800047234396
2021,JAX,-2.478793617018016,-0.00183071906722158
2021,CAR,-2.678305717438147,-0.0018968170803386369
2021,NYG,-2.6876360399101427,-0.0019747509477663987
2022,KC,5.11829827084774,0.0036875347772678344
2022,BUF,4.876396793743364,0.0037510744567256665
2022,PHI,4.068073225609969,0.002864840299725327
2022,CIN,3.7630153441656695,0.002818738085517352
2022,MIN,3.6954341991108812,0.0025173257487131426
2022,DET,2.8739680270606707,0.0020587163517626454
2022,NYG,2.8513194150660106,0.0020236475621476214
2022,SEA,2.839378213888117,0.002078607770049865
2022,DAL,2.7427161795765835,0.0019301310201101918
2022,SF,2.551763169282135,0.001907147361197411
2022,PIT,2.4774262963807177,0.0017458959100639132
2022,LAC,2.2165139690198217,0.001519200801247296
2022,MIA,1.9053394246914923,0.0014600302104915666
2022,BAL,1.8525832270784353,0.0013929197196078293
2022,JAX,1.3182953597725244,9.629622788696406e-4
2022,ATL,1.2682822739561543,9.741031289985747e-4
2022,LV,1.1396320176703778,8.324558200660333e-4
2022,GB,0.5464660282957442,4.1149550323474956e-4
2022,CLE,0.44799647207005844,3.166052806148858e-4
2022,TB,0.1788206739884406,1.2115221814935395e-4
2022,WAS,0.004866596821170743,3.3447400832814684e-6
2022,NA,0,0
2022,LA,-0.407218023322939,-3.159177838036696e-4
2022,CAR,-0.5504745043931609,-4.260638578894338e-4
2022,NO,-0.9907081482332927,-7.545378128204553e-4
2022,NE,-1.0511754873544272,-8.079750094960878e-4
2022,TEN,-1.1831888644518183,-9.087472077203034e-4
2022,CHI,-1.2773864575349574,-9.9253027003493e-4
2022,ARI,-2.3025677076281923,-0.0015653077550157792
2022,NYJ,-2.420975804735247,-0.0017492599745196848
2022,HOU,-2.6598444829400494,-0.0020089459840936896
2022,IND,-2.7528353841021227,-0.0019523655206398014
2022,DEN,-3.3163232366995175,-0.0023354388990841704
2023,DAL,4.371749434737381,0.003096139826301258
2023,PHI,4.145621153974526,0.002938073106998257
2023,DET,3.940983022931915,0.002771436724987275
2023,SF,3.6198244956831225,0.002775939030431854
2023,BUF,3.473585210046253,0.002498982165500885
2023,SEA,2.9347525221092496,0.0022249829583845986
2023,MIA,2.9216555995420705,0.002159390687022955
2023,CIN,2.753186696333044,0.0020303736698621157
2023,HOU,2.7514814089827637,0.0019472621436537445
2023,BAL,1.9394255227082144,0.0013972806359569408
2023,KC,1.5497163579081747,0.0011470883478224753
2023,GB,1.488337721015601,0.001104927781006351
2023,TB,1.3814625271192407,0.0010217918099994405
2023,LA,1.0503249639497545,7.438562067632742e-4
2023,IND,0.9224174296790042,6.459505810077168e-4
2023,TEN,0.6522171406365965,4.926111334113288e-4
2023,JAX,0.32189368202540924,2.2636686499677506e-4
2023,NA,0,0
2023,LAC,-0.03510934370558905,-2.482980460084601e-5
2023,MIN,-0.0609912432447266,-4.4357267814344705e-5
2023,NO,-0.09410404719839027,-6.641076019647503e-5
2023,DEN,-0.19473727726206014,-1.4565241380856185e-4
2023,ATL,-0.413483304581143,-2.9408485389840507e-4
2023,ARI,-0.8264576452424324,-5.924427564461959e-4
2023,CHI,-0.9525194479330059,-6.818321030300622e-4
2023,WAS,-1.1648439244935611,-8.380172118658928e-4
2023,PIT,-1.2380076704837624,-9.443231658915042e-4
2023,LV,-1.2693486767730873,-9.839912223047126e-4
2023,CLE,-2.38088572509617,-0.0015715417327367483
2023,NYG,-3.3915352200065323,-0.0024523031236489807
2023,CAR,-4.041823384249555,-0.002838359118152777
2023,NYJ,-5.247265446436645,-0.0037507258373385543
2023,NE,-5.917569861641633,-0.004486406263564531
